head.feature_extracter.backbone.conv1.weight	(64, 3, 7, 7)
head.feature_extracter.backbone.layer3.5.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.5.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.5.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.5.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.5.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.5.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.5.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.5.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.5.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.5.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.6.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.6.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.6.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.6.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.6.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.6.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.6.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.6.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.6.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.6.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.6.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.6.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.6.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.6.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.6.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.7.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.7.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.7.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.7.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.7.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.7.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.7.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.7.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.7.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.7.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.7.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.7.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.7.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.7.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.7.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.8.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.8.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.8.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.8.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.8.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.8.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.8.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.8.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.8.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.8.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.8.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.8.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.8.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.8.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.8.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.9.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.9.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.9.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.9.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.9.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.9.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.9.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.9.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.9.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.9.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.9.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.9.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.9.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.9.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.9.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.10.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.10.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.10.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.10.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.10.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.10.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.10.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.10.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.10.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.10.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.10.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.10.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.10.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.10.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.10.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.11.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.11.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.11.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.11.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.11.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.11.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.11.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.11.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.11.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.11.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.11.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.11.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.11.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.11.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.11.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.12.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.12.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.12.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.12.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.12.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.12.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.12.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.12.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.12.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.12.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.12.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.12.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.12.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.12.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.12.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.13.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.13.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.13.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.13.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.13.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.13.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.13.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.13.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.13.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.13.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.13.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.13.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.13.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.13.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.13.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.14.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.14.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.14.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.14.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.14.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.14.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.14.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.14.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.14.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.14.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.14.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.14.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.14.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.14.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.14.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.15.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.15.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.15.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.15.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.15.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.15.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.15.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.15.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.15.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.15.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.15.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.15.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.15.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.15.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.15.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.16.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.16.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.16.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.16.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.16.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.16.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.16.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.16.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.16.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.16.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.16.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.16.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.16.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.16.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.16.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.17.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.17.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.17.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.17.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.17.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.17.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.17.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.17.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.17.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.17.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.17.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.17.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.17.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.17.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.17.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.18.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.18.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.18.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.18.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.18.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.18.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.18.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.18.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.18.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.18.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.18.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.18.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.18.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.18.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.18.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.19.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.19.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.19.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.19.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.19.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.19.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.19.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.19.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.19.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.19.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.19.conv3.weight	(1024, 256, 1, 1)
